article,views,rank,project,date,url,category
Main_Page,6123381,1,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Main_Page,General
Dharmendra,1222914,2,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Dharmendra,General
Google_Chrome,329336,4,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Google_Chrome,General
Udo_Kier,297979,5,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Udo_Kier,General
Golden_Party_Badge,237929,7,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Golden_Party_Badge,General
Jimmy_Cliff,210804,8,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Jimmy_Cliff,General
Wicked:_For_Good,207499,9,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Wicked:_For_Good,General
Lucy_Lambert_Hale,192307,10,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Lucy_Lambert_Hale,General
Hema_Malini,175288,11,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Hema_Malini,General
Slender_Man_stabbing,162310,12,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Slender_Man_stabbing,General
Deaths_in_2025,148688,13,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Deaths_in_2025,General
Bruce_Lee,125401,14,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Bruce_Lee,General
It_–_Welcome_to_Derry,122762,15,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/It_–_Welcome_to_Derry,General
ChatGPT,116229,16,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/ChatGPT,General
Tatiana_Schlossberg,113427,17,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Tatiana_Schlossberg,General
.xxx,104200,18,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/.xxx,General
Pluribus_(TV_series),99380,19,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Pluribus_(TV_series),General
1989_Tiananmen_Square_protests_and_massacre,96882,20,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre,General
Wicked_(2024_film),92954,22,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Wicked_(2024_film),General
Ariana_Grande,91701,23,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/Ariana_Grande,General
The_Family_Man_(Indian_TV_series),89192,24,en.wikipedia,2025-11-24,https://en.wikipedia.org/wiki/The_Family_Man_(Indian_TV_series),General
